,file,channel,n_hfos,duration_samples,duration_sec
135,sub-01_ses-01_task-hfo_run-03_eeg.edf,T6-P4,0,0,0.0
136,sub-01_ses-01_task-hfo_run-03_eeg.edf,P4-Pz,0,0,0.0
137,sub-01_ses-01_task-hfo_run-03_eeg.edf,Pz-O1,0,0,0.0
138,sub-01_ses-01_task-hfo_run-03_eeg.edf,Pz-O2,0,0,0.0
139,sub-01_ses-01_task-hfo_run-03_eeg.edf,O1-O2,0,0,0.0
140,sub-01_ses-01_task-hfo_run-03_eeg.edf,F7-C3,0,0,0.0
141,sub-01_ses-01_task-hfo_run-03_eeg.edf,C3-Fz,1,52,0.104
142,sub-01_ses-01_task-hfo_run-03_eeg.edf,F8-C4,2,129,0.258
143,sub-01_ses-01_task-hfo_run-03_eeg.edf,C4-Fz,0,0,0.0
144,sub-01_ses-01_task-hfo_run-03_eeg.edf,T5-C3,0,0,0.0
145,sub-01_ses-01_task-hfo_run-03_eeg.edf,C3-Pz,0,0,0.0
146,sub-01_ses-01_task-hfo_run-03_eeg.edf,T6-C4,1,61,0.122
147,sub-01_ses-01_task-hfo_run-03_eeg.edf,C4-Pz,1,45,0.09
148,sub-01_ses-01_task-hfo_run-03_eeg.edf,T3-P3,4,213,0.426
149,sub-01_ses-01_task-hfo_run-03_eeg.edf,P3-Cz,2,108,0.216
150,sub-01_ses-01_task-hfo_run-03_eeg.edf,T4-P4,2,248,0.496
151,sub-01_ses-01_task-hfo_run-03_eeg.edf,P4-Cz,0,0,0.0
152,sub-01_ses-01_task-hfo_run-03_eeg.edf,T3-F3,4,249,0.498
153,sub-01_ses-01_task-hfo_run-03_eeg.edf,F3-Cz,2,140,0.28
154,sub-01_ses-01_task-hfo_run-03_eeg.edf,T4-F4,2,181,0.362
155,sub-01_ses-01_task-hfo_run-03_eeg.edf,F4-Cz,2,143,0.286
156,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fp1-Fp2,1,38,0.076
157,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fp1-F7,0,0,0.0
158,sub-01_ses-01_task-hfo_run-04_eeg.edf,F7-T3,2,151,0.302
159,sub-01_ses-01_task-hfo_run-04_eeg.edf,T3-T5,2,157,0.314
160,sub-01_ses-01_task-hfo_run-04_eeg.edf,T5-O1,0,0,0.0
161,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fp2-F8,0,0,0.0
162,sub-01_ses-01_task-hfo_run-04_eeg.edf,F8-T4,1,100,0.2
163,sub-01_ses-01_task-hfo_run-04_eeg.edf,T4-T6,1,101,0.202
164,sub-01_ses-01_task-hfo_run-04_eeg.edf,T6-O2,0,0,0.0
165,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fp1-F3,6,332,0.664
166,sub-01_ses-01_task-hfo_run-04_eeg.edf,F3-C3,1,41,0.082
167,sub-01_ses-01_task-hfo_run-04_eeg.edf,C3-P3,2,90,0.18
168,sub-01_ses-01_task-hfo_run-04_eeg.edf,P3-O1,4,192,0.384
169,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fp2-F4,1,50,0.1
170,sub-01_ses-01_task-hfo_run-04_eeg.edf,F4-C4,0,0,0.0
171,sub-01_ses-01_task-hfo_run-04_eeg.edf,C4-P4,0,0,0.0
172,sub-01_ses-01_task-hfo_run-04_eeg.edf,P4-O2,0,0,0.0
173,sub-01_ses-01_task-hfo_run-04_eeg.edf,Fz-Cz,0,0,0.0
174,sub-01_ses-01_task-hfo_run-04_eeg.edf,Cz-Pz,0,0,0.0
